var_name,file_name,sensor_X,sensor_Y,lon_X,lat_X,lon_Y,lat_Y,dist,dateTime_X,dateTime_Y,diff_time,n,Slope,MAPE,Bias,Error
LU,HYPERNETS_vs_TRIOS_vs_20240815T104100_LU.csv,TRIOS,Hyp,15.366558000000001,38.543917,15.366333000000001,38.54425,0.04,2024-08-15T08:39:47Z,2024-08-15T08:41:00Z,1,321,0.99,7.5,-5.7,5.8
LU,HYPERNETS_vs_TRIOS_vs_20240815T112000_LU.csv,Hyp,TRIOS,15.331249999999999,38.580033,15.333312999999999,38.577861999999996,0.3,2024-08-15T09:20:00Z,2024-08-15T09:17:57Z,2,321,1.01,10,-9.2,9.9
LU,HYPERNETS_vs_TRIOS_vs_20240815T112000_LU.csv,TRIOS,Hyp,15.333312999999999,38.577861999999996,15.331249999999999,38.580033,0.3,2024-08-15T09:17:57Z,2024-08-15T09:20:00Z,2,321,0.98,11.6,9.2,9.9
LU,HYPERNETS_vs_TRIOS_vs_20240816T080100_LU.csv,Hyp,TRIOS,13.74245,39.23543300000001,13.738192999999997,39.236380000000004,0.38,2024-08-16T06:01:00Z,2024-08-16T06:02:37Z,2,321,1.09,6.8,1.9,7.3
LU,HYPERNETS_vs_TRIOS_vs_20240816T080100_LU.csv,TRIOS,Hyp,13.738192999999997,39.236380000000004,13.74245,39.23543300000001,0.38,2024-08-16T06:02:37Z,2024-08-16T06:01:00Z,2,321,0.91,6.6,-1.9,7.3
LU,HYPERNETS_vs_TRIOS_vs_20240816T081000_LU.csv,Hyp,TRIOS,13.725667,39.239267,13.730184999999999,39.238135000000014,0.41,2024-08-16T06:10:00Z,2024-08-16T06:08:14Z,2,321,1.06,4.7,3.7,4
LU,HYPERNETS_vs_TRIOS_vs_20240816T081000_LU.csv,TRIOS,Hyp,13.730184999999999,39.238135000000014,13.725667,39.239267,0.41,2024-08-16T06:08:14Z,2024-08-16T06:10:00Z,2,321,0.94,4.4,-3.7,4
LU,HYPERNETS_vs_TRIOS_vs_20240816T082000_LU.csv,Hyp,TRIOS,13.714433,39.24175,13.715072,39.241550000000004,0.06,2024-08-16T06:20:00Z,2024-08-16T06:18:50Z,1,321,1.05,5.2,-1,4.3
LU,HYPERNETS_vs_TRIOS_vs_20240816T082000_LU.csv,TRIOS,Hyp,13.715072,39.241550000000004,13.714433,39.24175,0.06,2024-08-16T06:18:50Z,2024-08-16T06:20:00Z,1,321,0.95,5.4,1,4.3
LU,HYPERNETS_vs_TRIOS_vs_20240816T083100_LU.csv,Hyp,TRIOS,13.697633,39.24550000000001,13.700552,39.244917,0.26,2024-08-16T06:31:00Z,2024-08-16T06:29:04Z,2,321,1.03,7.5,-6.7,7.6
LU,HYPERNETS_vs_TRIOS_vs_20240816T083100_LU.csv,TRIOS,Hyp,13.700552,39.244917,13.697633,39.24550000000001,0.26,2024-08-16T06:29:04Z,2024-08-16T06:31:00Z,2,321,0.97,8.3,6.7,7.6
LU,HYPERNETS_vs_TRIOS_vs_20240816T085100_LU.csv,Hyp,TRIOS,13.669567,39.25166699999999,13.671038,39.251326999999996,0.13,2024-08-16T06:51:00Z,2024-08-16T06:49:30Z,2,321,1.01,7,-7.1,7.5
LU,HYPERNETS_vs_TRIOS_vs_20240816T085100_LU.csv,TRIOS,Hyp,13.671038,39.251326999999996,13.669567,39.25166699999999,0.13,2024-08-16T06:49:30Z,2024-08-16T06:51:00Z,2,321,0.99,7.7,7.1,7.5
LU,HYPERNETS_vs_TRIOS_vs_20240816T090000_LU.csv,Hyp,TRIOS,13.656433000000002,39.253733000000004,13.655680000000002,39.253595000000004,0.07,2024-08-16T07:00:00Z,2024-08-16T07:02:33Z,3,321,1.07,5.5,4.2,4.6
LU,HYPERNETS_vs_TRIOS_vs_20240816T090000_LU.csv,TRIOS,Hyp,13.655680000000002,39.253595000000004,13.656433000000002,39.253733000000004,0.07,2024-08-16T07:02:33Z,2024-08-16T07:00:00Z,3,321,0.93,5,-4.2,4.6
LU,HYPERNETS_vs_TRIOS_vs_20240816T092100_LU.csv,Hyp,TRIOS,13.652750000000001,39.25445,13.651805,39.254302,0.08,2024-08-16T07:21:00Z,2024-08-16T07:23:32Z,3,321,1.03,11.3,8.6,8.9
LU,HYPERNETS_vs_TRIOS_vs_20240816T092100_LU.csv,TRIOS,Hyp,13.651805,39.254302,13.652750000000001,39.25445,0.08,2024-08-16T07:23:32Z,2024-08-16T07:21:00Z,3,321,0.96,9.8,-8.6,8.9
LU,HYPERNETS_vs_TRIOS_vs_20240816T093100_LU.csv,Hyp,TRIOS,13.6506,39.254583,13.650927999999999,39.254397,0.04,2024-08-16T07:31:00Z,2024-08-16T07:28:51Z,2,321,1.01,13.8,9.5,9.8
LU,HYPERNETS_vs_TRIOS_vs_20240816T093100_LU.csv,TRIOS,Hyp,13.650927999999999,39.254397,13.6506,39.254583,0.04,2024-08-16T07:28:51Z,2024-08-16T07:31:00Z,2,321,0.99,11.4,-9.5,9.8
